governorate,district,Sub District,Community,cluster,Location Name,longitude,latitude,geo,environment,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,class
Deir-ez-Zor,Al Mayadin,Al Mayadin,Saalu,Saalu,Sa'lo 1 - Agricultural Research,40.3826,35.1543,"35.154,40.382",CC,0,0,0,0,570,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Deir-ez-Zor,Al Mayadin,Al Mayadin,Saalu,Saalu,Sa'lo 2 - Water Reservoir,40.3846,35.1563,"35.156,40.384",CC,0,0,0,0,270,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Deir-ez-Zor,Al Mayadin,Al Mayadin,Saalu,Saalu,Sa'lo 3 - Farm near Zibari,40.3856,35.1573,"35.157,40.385",CC,0,0,0,0,210,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Bashkum,Sanjar,Khaldyiah,37.1058,35.4453,"35.445,37.105",IS,0,0,0,0,320,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Hawa,Sanjar,Fakkah,37.0455,35.4463,"35.446,37.045",IS,0,0,0,0,150,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Bashkum,Sanjar,Bashkum,37.0909,35.4514,"35.451,37.090",IS,0,0,0,0,300,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Mreijeb Elmashad,Sanjar,Mreijeb Elmashad,37.0418,35.478,"35.478,37.041",IS,0,0,0,0,520,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Tal Halawa,Sanjar,Tal Halawa,37.1418,35.4828,"35.482,37.141",IS,0,0,0,0,900,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Maksar,Sanjar,Lower Maksar,37.0936,35.4957,"35.495,37.093",IS,0,0,0,0,150,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Tellemara,Sanjar,Tellemara,37.0816,35.507,"35.507,37.081",IS,0,0,0,0,300,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Jeb Elqasab,Sanjar,Jeb Elqasab,37.0993,35.5169,"35.516,37.099",IS,0,0,0,0,400,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Abul Eleij,Sanjar,Abul Eleij,37.1197,35.5247,"35.524,37.119",IS,0,0,0,0,400,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Rasm Elabed,Sanjar,Rasm Elabed,37.0181,35.5298,"35.529,37.018",IS,0,0,0,0,780,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Northern Lweibdeh,Sanjar,Lweibdeh,36.9305,35.5317,"35.531,36.930",IS,0,0,0,0,400,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Fahil Jallas,Sanjar,Fahil Jallas,36.9587,35.5394,"35.539,36.958",IS,0,0,0,0,350,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Seraa,Sanjar,Re'a Alhawa,37.1089,35.5402,"35.540,37.108",IS,0,0,0,0,500,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Mreiheb,Sanjar,Mreijeb Slejah,37.1514,35.5414,"35.541,37.151",IS,0,0,0,0,900,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Sanjar,Sanjar,Ramleh,37.0726,35.5613,"35.561,37.072",IS,0,0,0,0,340,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Mardagana Burtuqala,Sanjar,Mardagana Burtuqala,37.0275,35.5867,"35.586,37.027",IS,0,0,0,0,200,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Ejaz,Sanjar,Eatern Ejaz,36.9343,35.6208,"35.620,36.934",IS,0,0,0,0,600,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Ejaz,Sanjar,Western Ejaz,36.9315,35.6228,"35.622,36.931",IS,0,0,0,0,600,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Ojeh,Sanjar,Ojeh,37.0214,35.6347,"35.634,37.021",IS,0,0,0,0,400,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Qatra,Sanjar,Qatra,36.8758,35.6534,"35.653,36.875",IS,0,0,0,0,350,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Lattakia,Lattakia,Rabee'a,Qasab ,Yamadia,Yamadia (Kasab),36.0681,35.7122,"35.712,36.068",IS,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Jisr-Ash-Shugur,Badama,Badama,Oben,Al Jabal,36.1973,35.8119,"35.811,36.197",IS,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Jisr-Ash-Shugur,Badama,Badama,Oben,Al Jenan,36.1993,35.8139,"35.813,36.199",IS,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Jisr-Ash-Shugur,Badama,Badama,Oben,Al Mashta,36.2003,35.8149,"35.814,36.200",IS,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Jisr-Ash-Shugur,Badama,Badama,Oben,Al Sahel,36.2013,35.8159,"35.815,36.201",IS,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Jisr-Ash-Shugur,Badama,Badama,Oben,Aysha 1,36.2023,35.8169,"35.816,36.202",IS,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Jisr-Ash-Shugur,Badama,Badama,Oben,Aysha 2,36.2033,35.8179,"35.817,36.203",IS,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Jisr-Ash-Shugur,Badama,Badama,Oben,Oben ,36.2043,35.8189,"35.818,36.204",IS,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Alkaissiyeh,36.315,35.8142,"35.814,36.315",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Ala'arin,36.317,35.8162,"35.816,36.317",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Almuteleh,36.318,35.8172,"35.817,36.318",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Om Elriysh,36.319,35.8182,"35.818,36.319",CC,23,20,6,7,56,,,,,1,1,4. Not covered,4. Not covered,4. Not covered,4. Not covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Sabileh,36.32,35.8192,"35.819,36.32",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Lattakia,Lattakia,Rabee'a,Samira - Sallur,Yamadia,Al Nahel Camp,36.134,35.8194,"35.819,36.134",IS,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
