governorate,district,Sub District,Community,cluster,Location Name,longitude,latitude,geo,environment,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,class
Aleppo,Afrin,Sharan,Kafr Janna,Afrin,Kafr Janne ,36.945723,36.585286,"36.585286,36.945723",IS,,,,,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Aleppo,Afrin,Afrin,Baselhaya,Afrin,Roubar Camp,36.9619694,36.4621861,"36.4621861,36.9619694",IS,934,788,734,543,2999,0.89,1,1,1,0.4,0.8,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,2. Mostly covered,"b. 1,000 - 4,999"
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,Al Harameen (and extensions),37.147055,36.638889,"36.638889,37.147055",TC,791,714,562,483,2550,1,1,1,1,,0.15,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,3. Partially covered,"b. 1,000 - 4,999"
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,Al Rayan,37.118748,36.654828,"36.654828,37.118748",IS,,,,,9456,,1,1,1,,1,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,1. Fully covered,"c. 5,000 - 9,999"
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,Al Resalah (Al Armuda),37.116417,36.663013,"36.663013,37.116417",IS,2664,2692,2741,2336,10433,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,"d. 10,000 - 19,999"
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,Bab Al Iman,37.135328,36.661389,"36.661389,37.135328",IS,2642,2408,1554,1166,7770,,1,1,1,0.58,1,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,"c. 5,000 - 9,999"
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,Bab Al Noor,37.127657,36.652908,"36.652908,37.127657",IS,,,,,8148,0.41,1,1,1,1,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,"c. 5,000 - 9,999"
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,"Shamarin (Dhahiat Al-Shuhada, Qatari)",37.13975,36.653622,"36.653622,37.13975",IS,1494,1977,908,961,5340,0.8,1,1,1,0.8,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,"c. 5,000 - 9,999"
Aleppo,A'zaz,A'zaz,Shmarekh,Azaz,Azaz Transit/Reception Centre,37.129083,36.642694,"36.642694,37.129083",TC,2842,2700,2026,2745,10313,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,"d. 10,000 - 19,999"
Aleppo,A'zaz,A'zaz,Salama,Azaz,Bab Al Salame ,37.084091,36.630837,"36.630837,37.084091",IS,2958,2697,1741,1304,8700,,1,1,1,,1,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,1. Fully covered,"c. 5,000 - 9,999"
