governorate,district,Sub District,Community,cluster,geo,environment,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,class
Aleppo,Afrin,Afrin,Baselhaya,Afrin,"36.466665,36.962236",IS,925,788,727,543,2983,0.89,1,1,1,,,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,"36.6615824,37.126712",IS,,,,,9456,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,"36.6656235,37.1073366",IS,2664,2692,2741,2336,10433,0.7,1,1,1,0.5,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered,
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,"36.6527081,37.1417501",IS,2958,2696,1740,1306,8700,,1,1,1,0.58,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,"36.6476801,37.126042",IS,,,,,7800,0.41,1,1,1,1,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,"36.6590527,37.148274",IS,1570,2077,954,1010,5611,0.8,1,1,1,0.8,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,
Aleppo,A'zaz,A'zaz,Salama,Azaz,"36.6285492,37.0838495",IS,2958,2697,1741,1304,8700,,1,1,1,0.5,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered,
Aleppo,A'zaz,A'zaz,Salama,Azaz,"36.6323692,37.0944352",IS,2448,2630,1438,1236,7752,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Aleppo,A'zaz,A'zaz,Salama,Azaz,"36.6172265,37.067492",IS,,,,,24210,,1,,0.25,,,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,
Aleppo,A'zaz,A'zaz,Tatiyeh,Azaz,"36.6268846,37.1074676",IS,,,,,3315,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Aleppo,A'zaz,A'zaz,Talil Elsham,Azaz,"36.6563284,37.0966167",IS,846,841,661,571,2919,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Aleppo,A'zaz,A'zaz,Talil Elsham,Azaz,"36.645781,37.1129147",IS,,,,,2721,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Aleppo,A'zaz,Tall Refaat,Deir Jmal,Azaz,"36.4689534,37.0244841",IS,408,292,300,240,1240,0.7,1,0.3,,,,2. Mostly covered,1. Fully covered,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Aleppo,Jebel Saman,Atareb,Abin Samaan,Atareb,"36.114336,36.7352022",IS,287,276,229,189,981,1,1,1,1,,0.9,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,2. Mostly covered,
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,"36.8095834,38.0044698",IS,129,127,74,70,400,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,"36.8321327,38.0113161",IS,,,,,451,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,"36.8232878,38.0154526",IS,,,,,1325,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,"36.8303685,38.0162263",IS,,,,,405,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,"36.8022833,37.9978922",IS,151,153,120,115,539,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Ar Raqqa,Ath-Thawrah,Mansura,Sefsafa (Mansura),Sasafa,"35.8268446,38.61546",IS,,,,,8,1,,,,,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Ar Raqqa,Ath-Thawrah,Mansura,Sefsafa (Mansura),Sasafa,"35.8335466,38.6210208",IS,,,,,5,1,,,,,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Ar Raqqa,Ath-Thawrah,Mansura,Sefsafa (Mansura),Sasafa,"35.8311792,38.6053178",IS,,,,,18,1,,,,,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Hama,Hama,Hamra,Baroudiyeh,Sanjar,"35.5153442,37.2258579",IS,64,69,68,62,263,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Hama,Hama,Hamra,Hawayes Un Jern,Sanjar,"35.4259513,37.1003217",IS,55,54,51,42,202,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Hama,Hama,Hamra,Jeb Elsafa,Sanjar,"35.4325344,37.197752",IS,54,51,59,55,219,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Hama,Hama,Hamra,Jeb Elsafa,Sanjar,"35.453041,37.1951435",IS,132,131,78,69,410,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Hama,Hama,Hamra,Muwaileh Abu Dahab,Sanjar,"35.3716895,37.1371355",IS,110,83,101,94,388,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Hama,Hama,Hamra,Rasm Hamam,Sanjar,"35.4052738,37.1800737",IS,66,67,22,18,173,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Heish,Abu Habbeh,Sanjar,"35.5442031,36.7615311",IS,233,236,166,148,783,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Heish,Maysruneh,Sanjar,"35.5663786,36.7457247",IS,67,81,53,47,248,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
