governorate,district,Sub District,Community,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,Protection,CP,GBV,Health**,Education
Idleb,Harim,Dana,Qah,Salam,Abl Baydar,"36.395172732,36.738064884",IS,68,65,58,51,242,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Hama,Hama,Hamra,Jeb Elsafa,Sanjar,Abla,"35.4610662,37.2331394",IS,54,51,59,55,219,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Harim,Kafr Hum,Harim,Abna`a Al Ghab,"36.2110547990001,36.41586495",IS,271,268,166,137,842,1,,0.7,1,,1,1. Fully covered,4. Not covered - N/A,2. Mostly covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,Yes,No,No,,
Idleb,Harim,Dana,Qah,Qah,Abu Bakker Al Sidiq,"36.3539694,36.748125",IS,203,189,125,93,610,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,Out of Camp
Idleb,Al Ma'ra,Heish,Abu Habbeh,Sanjar,Abu Habbeh,"35.5617465,36.6766074",IS,233,236,166,148,783,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Hama,Hama,Hamra,Muwaileh Abu Dahab,Sanjar,Abu Haya,"35.32865413,37.17600692",IS,110,83,101,94,388,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Abu Obeida Ben Aljaraah,"36.143126,36.693717",IS,99,110,520,89,818,1,1,,,,1,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,No,No,No,,in Deir Hassan village
Idleb,Al Ma'ra,Sanjar,Abul Eleij,Sanjar,Abul Eleij,"35.428452,37.078624",IS,84,69,57,55,265,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Atma,Karama,Act and Impact (Athar),"36.357246,36.781651",IS,253,215,161,139,768,1,1,1,1,1,0.2,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,No,No,No,FC,Yes
Idleb,Harim,Dana,Qah,Qah,Afamia,"36.339372732,36.755564884",IS,151,146,130,114,541,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Qah,Qah,Ahbab Al Rasoul,"36.210172732,36.693864884",IS,175,166,178,181,700,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Atma,Karama,Ahel Al Sham,"36.174427,36.618357",IS,200,198,117,115,630,0.9,1,1,1,1,,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,No,No,No,,Out of Camp
Idleb,Harim,Dana,Atma,Karama,Ahel Halep,"36.393196,36.731326",IS,169,127,110,97,503,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,Out of Camp
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Ahl Al Balad,"36.152869,36.723086",IS,143,126,111,113,493,1,1,1,1,0.5,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Qah,Liyajlikum,Ain Jaloot,"36.301772732,36.716464884",IS,46,60,61,44,210,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Qah,Liyajlikum,Al Aasy,"36.26631,36.722579",IS,207,210,184,194,795,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,Yes
Idleb,Harim,Dana,Qah,Salam,Al Ahd Billah,"36.267882,36.690716",IS,280,302,341,310,1234,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,Yes,No,,
Idleb,Harim,Dana,Atma,Karama,Al Ahrar,"36.213098,36.645032",IS,305,277,274,238,1094,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,Out of Camp
Idleb,Harim,Dana,Atma,Karama,Al Amal Bil Awdah,"36.380833,36.744352",IS,131,139,105,121,496,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,Yes
Idleb,Harim,Dana,Atma,Karama,Al Aqsa,"36.314799,36.744451",IS,211,143,176,139,670,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,No,No,No,,Yes
Idleb,Harim,Dana,Qah,Qah,Al Arbaeen,"36.339714,36.6230389",IS,95,101,86,97,379,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,Out of Camp
Idleb,Harim,Dana,Atma,Karama,Al Asil,"36.389981,36.722443",IS,254,253,147,144,797,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,No,No,No,,Out of Camp
