governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Idleb,Harim,Salam,Abl Baydar,"36.374842732,36.751344884",IS,68,65,58,51,242,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Hama,Hama,Sanjar,Abla,"35.5261762,37.1219294",IS,110,100,70,65,345,0.4,0.25,0.25,0,0.5,0,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Harim,Abna`a Al Ghab,"36.2069247990001,36.40878495",IS,257,250,193,164,864,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Qah,Abu Bakker Al Sidiq,"36.2803494,36.685935",IS,242,239,138,108,727,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Al Ma'ra,Sanjar,Abu Habbeh,"35.5128965,36.7259674",IS,499,464,450,354,1767,1,0.5,0.25,0,0.85,1,1. Fully covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,2. Mostly covered,1. Fully covered
Hama,Hama,Sanjar,Abu Haya,"35.41519413,37.19072692",IS,100,90,65,60,315,0.5,0.25,0.1,0,0.45,0,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Abu Obeida Ben Aljaraah,"36.250146,36.699867",IS,266,256,228,200,950,0,0.5,0.5,0,0,0.5,4. Not covered - N/A,3. Partially covered,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,3. Partially covered
Idleb,Al Ma'ra,Sanjar,Abul Eleij,"35.573112,37.088054",IS,110,100,70,68,348,0.8,0.5,0.1,0,0.9,1,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,2. Mostly covered,1. Fully covered
Idleb,Harim,Karama,Act and Impact (Athar),"36.270986,36.787651",PC,341,295,220,198,1054,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Qah,Afamia,"36.374172732,36.641074884",IS,255,246,219,192,913,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Qah,Ahbab Al Rasoul,"36.322882732,36.733684884",IS,151,146,169,164,630,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Ahel Al Sham,"36.300047,36.726047",IS,221,223,150,146,740,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Ahel Halep,"36.346836,36.703266",IS,234,168,149,131,682,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Ahl Al Balad,"36.277729,36.755846",IS,235,227,202,176,840,0,0.5,0.5,0,0,0.5,4. Not covered - N/A,3. Partially covered,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,3. Partially covered
Idleb,Harim,Liyajlikum,Ain Jaloot,"36.256922732,36.716664884",IS,119,156,158,111,544,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Liyajlikum,Al Aasy,"36.20176,36.740249",IS,198,215,203,210,826,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Salam,Al Ahd Billah,"36.289612,36.735506",IS,318,343,386,355,1403,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Ahrar,"36.228648,36.640012",IS,327,304,285,254,1170,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Amal Bil Awdah,"36.271983,36.752652",IS,107,129,107,118,461,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
