governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Aleppo,Afrin,Afrin,Roubar Camp,"36.4116661,37.0203094",IS,799,655,410,409,2273,1,0.9,0.9,0.6,0.6,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,1. Fully covered
Aleppo,A'zaz,Azaz,Al Rayan,"36.702078,37.0032138",IS,2420,2491,1588,1294,7793,,1,1,1,1,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Al Resalah (Al Armuda),"36.649798,37.188062",IS,2895,2721,3141,2700,11457,1,1,0.5,0.5,1,0.1,1. Fully covered,1. Fully covered,3. Partially covered,3. Partially covered,1. Fully covered,3. Partially covered
Aleppo,A'zaz,Azaz,Bab Al Iman,"36.611619,37.069128",IS,2145,1973,1550,1377,7045,0.1,1,1,1,1,,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Bab Al Noor,"36.598828,37.220317",IS,2496,2583,2112,1899,9090,0.41,1,1,1,,,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Aleppo,A'zaz,Azaz,"Shamarin (Dhahiat Al-Shuhada, Qatari)","36.644082,37.05867",IS,1830,1333,992,1012,5167,0.8,1,1,1,,,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Bab Al Salame ,"36.656307,37.105711",IS,2491,2496,2062,1831,8880,,1,1,1,1,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Sujjo,"36.644667,37.138829",IS,3078,3192,2622,2508,11400,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Yazibag,"36.563278,37.081323",IS,1800,1862,1522,1368,6552,,1,1,0.25,,,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Al Zeytoun (Olive),"36.541687,37.011161",IS,185,213,129,93,620,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Talil Elsham school,"36.6496559,37.160633",IS,468,430,395,323,1616,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Aleppo,A'zaz,Azaz,Talil Elsham Southern,"36.661277,37.131465",IS,312,287,264,216,1079,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Aleppo,A'zaz,Azaz,Al Shahba,"36.487114,37.085992",IS,322,296,311,249,1178,0.9,0.9,0.4,0.3,0.6,1,2. Mostly covered,2. Mostly covered,3. Partially covered,3. Partially covered,2. Mostly covered,1. Fully covered
Aleppo,Jebel Saman,Atareb,Ra'a,"36.1682667,36.7076",IS,266,275,184,153,878,0.35,0.7,0.7,0.7,0.2,1,3. Partially covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,3. Partially covered,1. Fully covered
Aleppo,Jebel Saman,Atareb,Alabiad Camp (White Camp) (including Allhyba),"36.066744,36.884078",IS,271,278,259,170,978,0.8,,,1,0.9,0.38,2. Mostly covered,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,2. Mostly covered,3. Partially covered
