governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Idleb,Harim,Salam,Abl Baydar,"36.374842732,36.751344884",IS,68,65,58,51,242,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Hama,Hama,Sanjar,Abla,"35.5261762,37.1219294",IS,12,16,15,15,58,0.4,0.25,0.25,0,0.5,1,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,1. Fully covered
Idleb,Harim,Harim,Abna`a Al Ghab,"36.2069247990001,36.40878495",IS,257,250,193,164,864,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Qah,Abu Bakker Al Sidiq,"36.2803494,36.685935",IS,207,192,127,94,620,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Al Ma'ra,Sanjar,Abu Habbeh,"35.5128965,36.7259674",IS,56,64,172,154,446,1,0.5,0.25,0,0.85,0.75,1. Fully covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,2. Mostly covered,2. Mostly covered
Hama,Hama,Sanjar,Abu Haya,"35.41519413,37.19072692",IS,39,49,46,45,179,0.5,0.25,0.1,0,0.45,1,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,1. Fully covered
Idleb,Harim,Deir Hassan,Abu Obeida Ben Aljaraah,"36.250146,36.699867",IS,184,208,180,133,705,0.15,1,1,1,0.15,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Abul Eleij,"35.573112,37.088054",IS,58,71,49,43,221,0.8,0.5,0.1,0,0.9,1,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,2. Mostly covered,1. Fully covered
Idleb,Harim,Karama,Act and Impact (Athar),"36.270986,36.787651",PC,335,291,218,196,1040,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Qah,Afamia,"36.374172732,36.641074884",IS,255,246,219,192,913,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Qah,Ahbab Al Rasoul,"36.322882732,36.733684884",IS,144,138,148,375,805,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Ahel Al Sham,"36.300047,36.726047",IS,200,198,117,115,630,0.9,1,1,1,1,0,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Ahel Halep,"36.346836,36.703266",IS,179,133,115,103,530,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Ahl Al Balad,"36.277729,36.755846",IS,189,163,150,129,631,0.3,1,1,1,1,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Liyajlikum,Ain Jaloot,"36.256922732,36.716664884",IS,119,156,158,111,544,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Liyajlikum,Al Aasy,"36.20176,36.740249",IS,208,221,197,214,841,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Salam,Al Ahd Billah,"36.289612,36.735506",IS,294,317,357,328,1297,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Ahrar,"36.228648,36.640012",IS,290,265,261,227,1043,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Amal Bil Awdah,"36.271983,36.752652",IS,123,131,98,116,468,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Karama,Al Aqsa,"36.363769,36.788911",IS,211,143,176,140,670,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Qah,Al Arbaeen,"36.299724,36.6819289",IS,94,94,83,88,360,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Asil,"36.314861,36.658513",IS,247,247,142,140,776,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Ataa,"36.353285,36.622473",IS,244,209,149,130,732,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Salam,Al Awdah,"36.360032732,36.697404884",IS,35,49,39,37,160,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Karama,Al Ayade Al Baydaa,"36.2322905710001,36.641295776",IS,110,113,94,84,401,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Qah,Al Bayan,"36.264627,36.69341",IS,209,186,216,189,800,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Al Bunian Al Kuwaite,"36.324594,36.68411",IS,422,397,364,289,1472,0.9,0.8,0.4,0.8,0.3,0.6,2. Mostly covered,2. Mostly covered,3. Partially covered,2. Mostly covered,3. Partially covered,2. Mostly covered
Idleb,Harim,Al Dana,Al Dana,"36.22069,36.705731",IS,87,123,99,72,381,0.1,1,1,1,0.1,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Idleb,Harim,Deir Hassan,Al Ezza,"36.150756,36.833892",IS,285,296,195,164,940,0.15,1,1,1,0.15,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Fadal,"36.292917,36.728794",IS,173,136,113,91,513,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Faraj,"36.279604,36.700114",IS,244,255,171,148,818,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Sarmada,Al Faraj (Al Ghab),"36.200495,36.616129",IS,233,165,175,168,741,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Al Farja Al Gharbi,"35.5895747,36.90159235",IS,265,242,171,166,844,1,0.25,0.1,0,0.2,0.75,1. Fully covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,2. Mostly covered
Idleb,Al Ma'ra,Sanjar,Al Farja Al Janobi,"35.5817882209494,36.7837414300437",IS,44,36,25,26,131,1,0.25,0.1,0,0.2,0.75,1. Fully covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,2. Mostly covered
Idleb,Harim,Sarmada,Al Faroq,"36.120803,36.614552",IS,137,140,94,0,371,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Farouk,"36.237194,36.753152",IS,221,211,155,142,729,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Sarmada,Al Fateh,"36.251039,36.70816",IS,67,87,83,75,312,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Liyajlikum,Al Fateh Al Araby,"36.323172732,36.687794884",IS,146,191,165,122,625,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
