governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Aleppo,Afrin,Afrin,Roubar Camp,"36.4116661,37.0203094",IS,847,764,666,510,2787,1,1,1,0.5,0.7,0.6,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,2. Mostly covered,2. Mostly covered
Aleppo,A'zaz,Azaz,Al Rayan,"36.702078,37.0032138",IS,,,,,9630,,1,1,1,1,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Al Resalah (Al Armuda),"36.649798,37.188062",IS,2732,2760,2809,2404,10705,1,1,0.5,0.5,1,0.1,1. Fully covered,1. Fully covered,3. Partially covered,3. Partially covered,1. Fully covered,3. Partially covered
Aleppo,A'zaz,Azaz,Bab Al Iman,"36.611619,37.069128",IS,2958,2696,1740,1306,8460,,,,,0.58,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,2. Mostly covered,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Bab Al Noor,"36.598828,37.220317",IS,,,,,8826,0.41,1,1,1,,,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Aleppo,A'zaz,Azaz,"Shamarin (Dhahiat Al-Shuhada, Qatari)","36.644082,37.05867",IS,1570,2077,954,1010,5550,0.8,1,1,1,,,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Bab Al Salame ,"36.656307,37.105711",IS,2958,2697,1741,1304,9720,,1,1,1,1,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Sujjo,"36.644667,37.138829",IS,2448,2630,1438,1236,8626,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Yazibag,"36.563278,37.081323",IS,,,,,6552,,1,,0.25,,,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Al Zeytoun (Olive),"36.541687,37.011161",IS,,,,,3315,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
