PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000446,Idleb,Harim,Harim,Al Aman,"36.2172267,36.5525022",IS,54,57,53,45,209,1,0,0,0,0,0,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000448,Idleb,Jisr-Ash-Shugur,Darkosh,Al Aman,"35.9858817,36.3323378",IS,85,97,107,100,389,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000123,Idleb,Harim,Karama,Al Nour,"36.245673,36.762192",IS,0,0,0,0,603,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000437,Idleb,Harim,Deir Hassan,Al Nour,"36.2523694,36.7426917",IS,106,121,106,79,412,0,0,1,1,1,0.26,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered
CP000431,Idleb,Al Ma'ra,Maarrat An Numan,Al Wafa,"35.685711,36.765812",IS,0,0,0,0,360,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000432,Idleb,Jisr-Ash-Shugur,Darkosh,Al Wafa,"35.9665347,36.3400428",IS,63,59,60,56,238,0.64,0,0,0,0,0,2. Mostly covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000069,Idleb,Harim,Bab Al Hawa,Othman Bin Affan,"36.131003,36.651884",IS,28,40,31,24,123,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000329,Idleb,Jisr-Ash-Shugur,Darkosh,Othman Bin Affan,"36.130003,36.650884",IS,242,255,218,179,894,1,0,0,0,0,0,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000450,Idleb,Harim,Harim,Abna'a Al Ezza,"36.223593731,36.511745569",IS,92,105,100,102,399,1,0,0,0,0,0,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000449,Aleppo,Al Bab,Al Bab,Al Bab Transit/Reception Centre,"36.3697223950001,37.5149251570001",T/RC,945,954,784,191,2877,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000447,Idleb,Jisr-Ash-Shugur,Darkosh,Aleppo 3,"36.0094872,36.3795089",IS,213,231,166,148,758,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000445,Idleb,Harim,Sarmada,Ghetaa Al Rahma2 (Al Kamouneh),"36.1645356,36.7480828",IS,241,235,194,180,850,1,0,0,0,0,0,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000444,Idleb,Harim,Deir Hassan,Al Hader,"36.2779961,36.7462778",IS,0,0,0,0,294,0,0,1,1,1,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000443,Idleb,Harim,Deir Hassan,Al Hadaba Al Khadra,"36.2695606,36.768565",IS,0,0,0,0,2130,0,0,1,1,1,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000442,Idleb,Harim,Deir Hassan,Al Seraj,"36.2368778,36.7848356",IS,0,0,0,0,498,0,0,1,1,1,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
