PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
CP000446,Idleb,Harim,Harim,Al Aman,"36.2172267,36.5525022",IS,54,57,53,45,209,0.94,0,0,0,0,0,2. Mostly covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000448,Idleb,Jisr-Ash-Shugur,Darkosh,Al Aman,"35.9858817,36.3323378",IS,0,0,0,0,424,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000123,Idleb,Harim,Karama,Al Nour,"36.245673,36.762192",IS,207,204,165,169,745,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000437,Idleb,Harim,Deir Hassan,Al Nour,"36.2523694,36.7426917",IS,0,0,0,0,533,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000431,Idleb,Al Ma'ra,Maarrat An Numan,Al Wafa,"35.685711,36.765812",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000432,Idleb,Jisr-Ash-Shugur,Darkosh,Al Wafa,"35.9665347,36.3400428",IS,63,59,60,56,238,0.64,0,0,0,0.5,0.8,2. Mostly covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,3. Partially covered,2. Mostly covered
CP000069,Idleb,Harim,Bab Al Hawa,Othman Bin Affan,"36.131003,36.651884",IS,28,40,31,24,123,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000329,Idleb,Jisr-Ash-Shugur,Darkosh,Othman Bin Affan,"36.130003,36.650884",IS,242,255,218,179,894,1,0,0,0,1,0,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
CP000450,Idleb,Harim,Harim,Abna'a Al Ezza,"36.223593731,36.511745569",IS,92,105,100,102,399,0.95,0,0,0,0,0,2. Mostly covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000449,Aleppo,Al Bab,Al Bab,Al Bab Transit/Reception Centre,"36.3697223950001,37.5149251570001",T/RC,82,65,56,30,233,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
