PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000526,Idleb,Jisr-Ash-Shugur,Obein,Mukhayyam Al Hanboushieh,"35.836441,36.190559",IS,382,350,374,344,1450,1,0,0,0,0,0,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000525,Idleb,Al Ma'ra,,Al - Sarman camp,"35.600726,36.863038",IS,506,490,291,255,1542,0,0,1,0,0,1,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered
CP000522,Idleb,Jisr-Ash-Shugur,Obein,Mukhayyam bidama 1,"35.868754,36.183437",IS,245,298,275,275,1093,1,0,0,0,0,0,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000519,Idleb,Harim,Sarmada,Al Nashmi,"36.15873056,36.78331444",IS,104,145,138,118,505,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000518,Idleb,Harim,Sarmada,Al Salam,"36.17390056,36.77716444",IS,394,524,330,299,1613,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000517,Idleb,Harim,Sarmada,Kafr Karmin,"36.15622611,36.77603444",IS,0,0,0,0,607,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000516,Idleb,Harim,Sarmada,Al Shaykh Bry,"36.183075,36.73027278",IS,128,169,102,92,491,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000515,Idleb,Harim,Sarmada,Terminine,"36.22855278,36.81431056",IS,22,40,22,20,104,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000514,Idleb,Harim,Sarmada,Al Jabal,"36.191835,36.697625",IS,0,0,0,0,509,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000513,Idleb,Idleb,,Sham,"36.10105333,36.68621556",IS,0,0,0,0,344,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000512,Idleb,Harim,Sarmada,Al Mahaba,"36.246372,36.69924",IS,0,0,0,0,359,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000511,Idleb,Harim,Sarmada,Al Nasr,"36.243783,36.712795",IS,70,109,98,97,374,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000510,Idleb,Harim,Sarmada,Kalibat,"36.23503333,36.71791056",IS,63,68,54,54,239,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000509,Idleb,Harim,Sarmada,Alghafran,"36.24022667,36.70314778",IS,0,0,0,0,203,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000508,Idleb,Harim,Salqin,Darbella,"36.11647056,36.38817",IS,142,165,145,135,587,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000507,Idleb,Harim,Harim,Tajmae Aleiza,"36.19850167,36.47495944",IS,168,175,117,102,562,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000506,Idleb,Harim,Harim,Kafr El-Gawr,"36.11500333,36.66484",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000505,Idleb,Jisr-Ash-Shugur,Obein,Alziyara,"35.867325,36.179359",PC,331,346,361,343,1381,1,0,0,0,0,0,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000504,Idleb,Harim,Dana,Nahno Omaa,"36.247874,36.717184",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000503,Idleb,Harim,Bab Al Hawa,Kafr Lusin,"36.251297,36.726939",IS,1080,1020,480,480,3000,0,0,0,1,1,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000502,Idleb,Harim,Karama,Algena,"36.30443407.99926,36.65796552.00958",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
