PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000457,Aleppo,Al Bab,Al Bab,Duyuf Al Sharqia,"36.3862172607332,37.505283979699",IS,261,265,210,221,957,1,1,0,0,0,0,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000449,Aleppo,Al Bab,Al Bab,Al Bab Transit/Reception Centre,"36.5226462297141,37.5177065469324",T/RC,50,53,40,36,179,1,1,0,0,0,0,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000364,Aleppo,Azaz,Azaz,Azaz Transit/Reception Centre,"36.5868550860926,37.0528678265067",T/RC,123,129,104,89,445,1,1,1,1,1,1,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000478,Aleppo,Azaz,Azaz,Tadamun,"36.5842607379501,37.0665942234624",IS,56,46,34,29,165,0.5,0.1,0,0,0,0,Not covered - N/A,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000479,Aleppo,Azaz,Azaz,Al Rahmah (Salama) ,"36.625222,37.080253",IS,5300,4250,3480,2300,15330,0.3,0.2,0.4,0,0,0.9,3. Partially covered,3. Partially covered,3. Partially covered,Not covered - N/A,Not covered - N/A,2.Mostly covered
CP000005,Aleppo,Azaz,Azaz,Bab Al Salame,"36.6240647684172,37.0829398386756",IS,1150,1050,992,897,4089,0.3,0.6,0.6,0,0,0,3. Partially covered,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000008,Aleppo,Azaz,Azaz,Sujjo,"36.6208767359518,37.0913556623074",IS,2285,2340,1724,1500,7849,0.3,0.5,0,0,0,0,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000291,Aleppo,Azaz,Azaz,Yazibag,"36.6335488815517,37.0608529704556",IS,5300,4250,3480,2300,15330,0.2,0.6,0,0,0,0,3. Partially covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000007,Aleppo,Azaz,Azaz,Al Harameen (and extensions),"36.638889,37.147055",IS,594,625,512,480,2211,0.4,1,1,1,1,0.75,3. Partially covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,2.Mostly covered
CP000290,Aleppo,Azaz,Azaz,Al Rayan (Azaz) ,"36.654828,37.118748",IS,3169,2986,1624,1577,9356,0.8,0.75,0.5,0.75,1,0.3,2.Mostly covered,2.Mostly covered,Not covered - N/A,2.Mostly covered,1.Fully covered,3. Partially covered
