PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000457,Aleppo,Al Bab,Al Bab,Duyuf Al Sharqia,"36.3865306,37.5063639",IS,261,265,210,221,957,1,1,1,0.7,1,0,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,Not covered - N/A
CP000449,Aleppo,Al Bab,Al Bab,Al Bab Transit/Reception Centre,"36.5422083,37.531125",T/RC,50,53,40,36,179,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000364,Aleppo,Azaz,Azaz,Azaz Transit/Reception Centre,"36.5865440368652,37.0558166503906",T/RC,168,157,131,95,551,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000478,Aleppo,Azaz,Azaz,Tadamun,"36.584503,37.067942",IS,56,46,34,29,165,0.5,0.1,0.1,0,0.35,0.1,2. Mostly covered,3. Partially covered,3. Partially covered,Not covered - N/A,3. Partially covered,3. Partially covered
CP000479,Aleppo,Azaz,Azaz,Al Rahmah (Salama) ,"36.625222,37.080253",IS,1750,1550,750,650,4700,0.44,0.3,0,0,0,0,3. Partially covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000005,Aleppo,Azaz,Azaz,Bab Al Salame,"36.630837,37.084091",IS,3015,2802,1654,1513,8984,0.3,0.6,0,0,0,0,3. Partially covered,2. Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000008,Aleppo,Azaz,Azaz,Sujjo,"36.623297,37.091979",IS,2285,2340,1724,1500,7849,0.3,0.5,0,0,0,0,3. Partially covered,2. Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000291,Aleppo,Azaz,Azaz,Yazibag,"36.621618,37.072373",IS,5300,4250,3480,2300,15330,0.2,0.6,0.8,0.3,0.8,0.25,3. Partially covered,2. Mostly covered,2. Mostly covered,3. Partially covered,2. Mostly covered,3. Partially covered
CP000007,Aleppo,Azaz,Azaz,Al Harameen (and extensions),"36.638889,37.147055",IS,594,625,512,480,2211,0,0,0,0,0,0,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000290,Aleppo,Azaz,Azaz,Al Rayan (Azaz) ,"36.654828,37.118748",IS,2575,2274,1507,1191,7547,0,0,0,0,0,0,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
