PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000457,Aleppo,Al Bab,Al Bab,Duyuf Al Sharqia,"36.3862569,37.5052509",IS,475,350,200,150,1175,0.9,0,0.8,1,0.8,0.8,,2.Mostly covered,Not covered - N/A,2.Mostly covered,1.Fully covered,2.Mostly covered,2.Mostly covered
CP000449,Aleppo,Al Bab,Al Bab,Al Bab Transit,"36.5226462297141,37.5177065469324",T/RC,295,374,347,321,1337,0.9,0,0.8,1,0.8,0.8,,2.Mostly covered,Not covered - N/A,2.Mostly covered,1.Fully covered,2.Mostly covered,2.Mostly covered
CP000600,Aleppo,Al Bab,Al Bab,Tarheen* ,"36.4937757,37.5198625",IS,5200,4900,4250,4150,18500,1,0,1,1,1,0,,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000364,Aleppo,Azaz,Azaz,Azaz Transit,"36.5868550860926,37.0528678265067",T/RC,992,990,774,668,3424,0.9,0,0.8,1,0.8,0.8,,2.Mostly covered,Not covered - N/A,2.Mostly covered,1.Fully covered,2.Mostly covered,2.Mostly covered
CP000478,Aleppo,Azaz,Azaz,Tadamun,"36.5842607379501,37.0665942234624",IS,32,23,24,27,106,0.3,0,0.7,0,1,0.6,,3. Partially covered,Not covered - N/A,2.Mostly covered,Not covered - N/A,1.Fully covered,2.Mostly covered
CP000479,Aleppo,Azaz,Azaz,Al Rahmah (Salama) ,"36.625222,37.080253",IS,5340,4280,3499,2316,15435,0.3,0,0.7,0,1,0.6,,3. Partially covered,Not covered - N/A,2.Mostly covered,Not covered - N/A,1.Fully covered,2.Mostly covered
CP000005,Aleppo,Azaz,Azaz,Bab Al Salame ,"36.6240647684172,37.0829398386756",IS,4848,4535,3284,2971,15638,0.3,0.6,,,,,,3. Partially covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000008,Aleppo,Azaz,Azaz,Sujjo,"36.6208767359518,37.0913556623074",IS,2483,2660,1926,1742,8811,0.3,0.5,,,,,,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000291,Aleppo,Azaz,Azaz,Yazibag,"36.6335488815517,37.0608529704556",IS,4250,3600,4150,3750,15750,0.9,0,0.8,1,0.8,0.8,,2.Mostly covered,Not covered - N/A,2.Mostly covered,1.Fully covered,2.Mostly covered,2.Mostly covered
CP000007,Aleppo,Azaz,Azaz,Al Harameen (and extensions),"36.638889,37.147055",IS,594,625,512,480,2211,0.4,1,,,,,,3. Partially covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000290,Aleppo,Azaz,Azaz,Al Rayan (Azaz) ,"36.654828,37.118748",IS,2895,2708,1961,1774,9338,0.9,0,0.8,1,0.8,0.8,,2.Mostly covered,Not covered - N/A,2.Mostly covered,1.Fully covered,2.Mostly covered,2.Mostly covered
