PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000457,Aleppo,Al Bab,Al Bab,Duyuf Al Sharqia,"36.3862569,37.5052509",IS,643,590,285,264,1782,0.8,0.3,0.5,0.7,0.8,0.35,,2.Mostly covered,3. Partially covered,Not covered - N/A,2.Mostly covered,2.Mostly covered,3. Partially covered
CP000449,Aleppo,Al Bab,Al Bab,Al Bab Transit,"36.5226462297141,37.5177065469324",T/RC,296,310,222,118,946,1,1,1,1,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000600,Aleppo,Al Bab,Al Bab,Tarheen* ,"36.4937757,37.5198625",IS,910,860,783,722,3275,0.65,0.25,0.75,0.3,0.2,0.25,,2.Mostly covered,3. Partially covered,2.Mostly covered,3. Partially covered,3. Partially covered,3. Partially covered
CP000364,Aleppo,Azaz,Azaz,Azaz Transit,"36.5868550860926,37.0528678265067",T/RC,191,222,124,104,641,1,1,1,1,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000479,Aleppo,Azaz,Azaz,Al Rahmah (Salama) ,"36.625222,37.080253",IS,1280,1210,1174,1145,4809,0.3,0.3,0.7,0.02,0.95,0.01,,3. Partially covered,3. Partially covered,2.Mostly covered,3. Partially covered,2.Mostly covered,3. Partially covered
CP000005,Aleppo,Azaz,Azaz,Bab Al Salame ,"36.6240647684172,37.0829398386756",IS,2748,2571,1862,1684,8865,0.3,0.6,1,1,1,0,,3. Partially covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000008,Aleppo,Azaz,Azaz,Sujjo,"36.6208767359518,37.0913556623074",IS,3427,3206,2322,2101,11056,0.3,1,1,1,1,0,,3. Partially covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000291,Aleppo,Azaz,Azaz,Yazibag,"36.6335488815517,37.0608529704556",IS,5451,5263,4323,3759,18796,0.9,1,1,1,1,1,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000007,Aleppo,Azaz,Azaz,Al Harameen (and extensions),"36.638889,37.147055",IS,2758,2068,1711,1247,7784,0.4,1,1,1,1,1,,3. Partially covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000290,Aleppo,Azaz,Azaz,Al Rayan (Azaz) ,"36.654828,37.118748",IS,1445,1390,2394,1793,7022,0.9,0.9,0.9,0.9,0.9,1,,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,1.Fully covered
CP000278,Aleppo,Azaz,Azaz,Al Resalah (Al Armuda),"36.661868,37.116302",PC,4172,3565,3820,3443,15000,0.8,0.8,1,0.7,0.7,0.7,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
