PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000457,Aleppo,Al Bab,Al Bab,Duyuf Al Sharqia,"36.3862569,37.5052509",IS,487,496,345,308,1636,0.9,0.25,0,0,0,0.63,,2.Mostly covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,2.Mostly covered
CP000449,Aleppo,Al Bab,Al Bab,Al Bab Transit,"36.5226462297141,37.5177065469324",T/RC,318,329,251,141,1039,0.9,0,0,0,0,0.63,,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,2.Mostly covered
CP000600,Aleppo,Al Bab,Al Bab,Tarheen* ,"36.4937757,37.5198625",IS,5300,5600,3800,3200,17900,1,0.1,0,0,0,0.63,,1.Fully covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,2.Mostly covered
CP000364,Aleppo,Azaz,Azaz,Azaz Transit,"36.5868550860926,37.0528678265067",T/RC,366,457,322,247,1392,1,1,1,1,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000479,Aleppo,Azaz,Azaz,Al Rahmah (Salama) ,"36.625222,37.080253",IS,914,961,1024,1126,4025,0.3,0.5,0,0,0,0.63,,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,2.Mostly covered
CP000005,Aleppo,Azaz,Azaz,Bab Al Salame ,"36.6240647684172,37.0829398386756",IS,2006,2134,1664,1467,7271,0.3,0.6,0,0,0,0,,3. Partially covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000008,Aleppo,Azaz,Azaz,Sujjo,"36.6208767359518,37.0913556623074",IS,3427,3206,2322,2101,11056,0.3,0.5,1,1,1,0,,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000291,Aleppo,Azaz,Azaz,Yazibag,"36.6335488815517,37.0608529704556",IS,4320,3710,4275,3850,16155,0.9,0.6,0.4,0.7,0.02,0.9,,2.Mostly covered,2.Mostly covered,3. Partially covered,2.Mostly covered,3. Partially covered,2.Mostly covered
CP000007,Aleppo,Azaz,Azaz,Al Harameen (and extensions),"36.638889,37.147055",IS,1212,1266,930,986,4394,0.4,1,0,0,0,0,,3. Partially covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000290,Aleppo,Azaz,Azaz,Al Rayan (Azaz) ,"36.654828,37.118748",IS,2471,1235,3810,2974,10490,0.9,0,0,0,0,0,,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000278,Aleppo,Azaz,Azaz,Al Resalah (Al Armuda),"36.661868,37.116302",PC,4172,3565,3820,3443,15000,0.8,0.8,0.9,0.8,0.9,0.7,,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000003,Aleppo,Azaz,Azaz,Bab Al Iman,"36.661389,37.135328",IS,2145,2010,1566,1711,7432,0.95,0.75,0,0,0,0,,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000004,Aleppo,Azaz,Azaz,Bab Al Noor,"36.652908,37.127657",IS,2078,2364,2098,1760,8300,0.9,0.5,0,0,0,0,,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000009,Aleppo,Azaz,Azaz,"Shamarin (Dhahiat Al-Shuhada, Qatari)","36.653622,37.13975",IS,2439,2282,1652,1495,7868,0.65,0.7,1,1,1,0,,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000477,Aleppo,Azaz,Azaz,Tal Jubeen,"36.6575744604391,37.1252666935584",IS,1690,1570,1400,1277,5937,0.3,0.1,0,0,0,0,,3. Partially covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000293,Aleppo,Azaz,Azaz,Talil Elsham school,"36.650659,37.102803",IS,2021,1893,1371,1240,6525,0.9,0.25,1,1,1,0,,2.Mostly covered,3. Partially covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000294,Aleppo,Azaz,Azaz,Talil Elsham Southern,"36.6394291657179,37.100590776241",IS,1758,1646,1192,1079,5675,0.9,1,1,1,1,0,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000292,Aleppo,Azaz,Azaz,Al Zeytoun (Al Helal),"36.6300347729818,37.1025102974643",IS,397,373,270,245,1285,0.9,0.65,1,1,1,0,,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000495,Aleppo,Azaz,Azaz,Dostluk (Friendship Camp),"36.595056,37.185139",PC,555,562,242,250,1609,0.3,0.3,1,0,0,0,,3. Partially covered,3. Partially covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000494,Aleppo,Azaz,Azaz,Elbil 1,"36.595056,37.185139",PC,631,582,740,346,2299,0.3,0.3,1,0,0,0,,3. Partially covered,3. Partially covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A
